compound.dt50.sediment,compound.dt50.soil,compound.dt50.surfaceWater,compound.dt50.system,compound.freundlich,compound.henry,compound.koc,compound.molarMass,compound.name,compound.plant_uptake,compound.reference_temperature,compound.vapor_pressure,compound.water_solubility,gap.application_dates.0,gap.application_dates.1,gap.arguments.apply_every_n_years,gap.arguments.interval,gap.arguments.modelCrop,gap.arguments.name,gap.arguments.number_of_applications,gap.arguments.rate,gap.arguments.time_in_year,gap.converted_rates.0,gap.converted_rates.1,gap.type,gap.yearly_application_on_soil,0.compound_pec,0.compound_name
6.0,8.54,6.0,6.0,0.9968,92.0,966.67,300.0,Compound 1206798021870020428,0.0,20.0,21.0,66.9104,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,6.619465314378034e-15,Compound 1206798021870020428
6.0,319.71,6.0,6.0,0.90694,0.000147,32.65,300.0,Compound 4375060582600073279,0.0,20.0,6.6e-05,133.896,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,24.236315341564477,Compound 4375060582600073279
6.0,14.5,6.0,6.0,0.9267,806.0,164.47,300.0,Compound 180221924167743843,0.0,20.0,49.0,18.343,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.260855964612375e-05,Compound 180221924167743843
6.0,2.0,6.0,6.0,0.99785,7.09,61.42,300.0,Compound -3054054940531337340,0.0,20.0,0.0045,0.1895,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,4.587201860272969e-14,Compound -3054054940531337340
6.0,1.64,6.0,6.0,0.98269,1490.0,94.59,300.0,Compound 7860292735218646280,0.0,20.0,320.0,63.6342,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,8.921721707226728e-08,Compound 7860292735218646280
6.0,667.87,6.0,6.0,0.91368,6.46,845.08,300.0,Compound -3221780227343865162,0.0,20.0,8.3,386.1,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,4.507427229999212e-09,Compound -3221780227343865162
6.0,2.53,6.0,6.0,0.97246,4.85e-06,40.2,300.0,Compound 8697150096710690433,0.0,20.0,0.019,1145014.6649,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,4.576785519686747e-11,Compound 8697150096710690433
6.0,1.35,6.0,6.0,0.93205,7.35,275.51,300.0,Compound -2908186810949714136,0.0,20.0,0.033,1.3456,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -2908186810949714136
6.0,17.78,6.0,6.0,0.91954,0.0107,2.33,300.0,Compound 3762533441190428704,0.0,20.0,0.047,1333.952,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.22811498386910328,Compound 3762533441190428704
6.0,195.1,6.0,6.0,0.99946,3.9,102.77,300.0,Compound 7736072050552888544,0.0,20.0,0.14,10.672,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.19945739072755198,Compound 7736072050552888544
6.0,14.23,6.0,6.0,0.99762,0.0084,178.02,300.0,Compound 8685802092383255607,0.0,20.0,0.00028,10.0957,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.8243537164589797e-06,Compound 8685802092383255607
6.0,12.51,6.0,6.0,0.95978,0.00286,4.06,300.0,Compound 2785286583613147363,0.0,20.0,0.00067,69.9907,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.05672911071935305,Compound 2785286583613147363
6.0,0.99,6.0,6.0,0.91312,3450000.0,289.36,300.0,Compound -1473876702357387185,0.0,20.0,3600.0,0.3158,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,8.431811653991596e-08,Compound -1473876702357387185
6.0,19.67,6.0,6.0,0.95273,7.93e-09,1764.31,300.0,Compound 3764427324046324899,0.0,20.0,2e-09,73.8722,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 3764427324046324899
6.0,14.47,6.0,6.0,0.92942,0.101,3578.95,300.0,Compound 9113156862288901231,0.0,20.0,0.00077,2.2967,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 9113156862288901231
6.0,0.29,6.0,6.0,0.96842,0.000238,11.05,300.0,Compound -1852334902439465889,0.0,20.0,0.044,56056.3308,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.80968411994036e-13,Compound -1852334902439465889
6.0,1.66,6.0,6.0,0.93389,0.000114,102.42,300.0,Compound 6678022809290635714,0.0,20.0,1.2e-06,3.1881,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 6678022809290635714
6.0,24.97,6.0,6.0,0.98405,1.27e-06,6339.87,300.0,Compound -6879254670198618535,0.0,20.0,2e-08,4.6846,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -6879254670198618535
6.0,11.63,6.0,6.0,0.92561,0.377,488.97,300.0,Compound -6367218662612711833,0.0,20.0,0.0017,1.3855,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -6367218662612711833
6.0,9.56,6.0,6.0,0.91582,35800.0,15.83,300.0,Compound 5163423681317029827,0.0,20.0,670.0,5.5843,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,6.503019473910388e-05,Compound 5163423681317029827
6.0,1.96,6.0,6.0,0.98767,4.47,80.75,300.0,Compound -6052752089530307942,0.0,20.0,0.012,0.7888,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,5.462850203942394e-16,Compound -6052752089530307942
6.0,105.29,6.0,6.0,0.98692,106000.0,54.71,300.0,Compound -8382528522449301743,0.0,20.0,26.0,0.0726,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,5.275762047118982e-05,Compound -8382528522449301743
6.0,0.08,6.0,6.0,0.97699,507.0,952.19,300.0,Compound 2233733990294453613,0.0,20.0,65000.0,38740.4734,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 2233733990294453613
6.0,72.54,6.0,6.0,0.94931,0.0109,3005.08,300.0,Compound -4004392660744076237,0.0,20.0,1.5e-05,0.4027,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -4004392660744076237
6.0,9.19,6.0,6.0,0.91555,0.000572,234.39,300.0,Compound -4515711924107703956,0.0,20.0,1.0,537141.0235,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -4515711924107703956
6.0,103.52,6.0,6.0,0.9642,0.00951,178.93,300.0,Compound -1350666893738004397,0.0,20.0,0.0071,224.5059,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.18872453245215037,Compound -1350666893738004397
6.0,241.25,6.0,6.0,0.91261,1.61,953.61,300.0,Compound -5114343785733965974,0.0,20.0,0.0056,1.0433,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.0999703861493604e-14,Compound -5114343785733965974
6.0,3.32,6.0,6.0,0.95433,2.15,16457.29,300.0,Compound -6588623037837406025,0.0,20.0,0.0055,0.7601,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -6588623037837406025
6.0,18.61,6.0,6.0,0.94434,1e-05,548.78,300.0,Compound -4004423837024205768,0.0,20.0,0.012,372113.2335,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.3347985225698074e-19,Compound -4004423837024205768
6.0,758.37,6.0,6.0,0.92298,46.2,157.31,300.0,Compound 8608340974256991713,0.0,20.0,8.5,55.5401,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.03051780467103586,Compound 8608340974256991713
6.0,2.94,6.0,6.0,0.90658,3.69e-06,7.61,300.0,Compound 4621377790877854924,0.0,20.0,5.5e-05,4446.4463,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,3.776640537421739e-08,Compound 4621377790877854924
6.0,7.76,6.0,6.0,0.97683,9.82e-05,66.92,300.0,Compound -2156822523107800679,0.0,20.0,1.9e-07,0.5767,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,3.44486449332286e-06,Compound -2156822523107800679
6.0,131.57,6.0,6.0,0.96277,0.000542,25.31,300.0,Compound 4793975969801775581,0.0,20.0,0.035,19396.4171,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,11.58475655256556,Compound 4793975969801775581
6.0,15.1,6.0,6.0,0.93217,9.42,58.68,300.0,Compound -3317646050026559964,0.0,20.0,0.056,1.797,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,2.2579937304075234e-07,Compound -3317646050026559964
6.0,0.91,6.0,6.0,0.95921,6.31e-08,130.3,300.0,Compound -1454881249931783870,0.0,20.0,3.6e-07,1729.9136,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -1454881249931783870
6.0,30.47,6.0,6.0,0.98018,0.13,13.69,300.0,Compound -620080275093456569,0.0,20.0,0.019,43.0706,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.24330123899089418,Compound -620080275093456569
6.0,17.68,6.0,6.0,0.92276,9.95e-10,750.28,300.0,Compound 8482762911465524260,0.0,20.0,3.4e-08,10177.5836,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 8482762911465524260
6.0,21.73,6.0,6.0,0.99017,17900.0,1968.25,300.0,Compound 8174614791660972750,0.0,20.0,270000.0,4585.9865,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,2.9897967080663907e-05,Compound 8174614791660972750
6.0,2.05,6.0,6.0,0.9292,0.0018,20694.85,300.0,Compound -4318792572162811007,0.0,20.0,0.00045,75.1736,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -4318792572162811007
6.0,24.29,6.0,6.0,0.98528,0.0274,287.84,300.0,Compound 4968870205171852162,0.0,20.0,0.006,65.9585,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,7.772966184569355e-07,Compound 4968870205171852162
6.0,82.3,6.0,6.0,0.99691,0.0087,6208.65,300.0,Compound -428815118823953593,0.0,20.0,0.0089,307.3522,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,6.69521948527661e-18,Compound -428815118823953593
6.0,3.13,6.0,6.0,0.90753,0.000686,2755.47,300.0,Compound -4989959282217990376,0.0,20.0,0.0027,1164.8684,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -4989959282217990376
6.0,112.32,6.0,6.0,0.91875,0.375,1735.76,300.0,Compound -5382781626170540267,0.0,20.0,930.0,744127.4393,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -5382781626170540267
6.0,19.58,6.0,6.0,0.9156,2.98e-05,40.22,300.0,Compound -3793356185163917085,0.0,20.0,0.014,142149.3345,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.003674694198600257,Compound -3793356185163917085
6.0,44.04,6.0,6.0,0.90443,4.89e-07,36.16,300.0,Compound -9084927415633115259,0.0,20.0,6.6e-06,4052.3929,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.3871659493607168,Compound -9084927415633115259
6.0,13.51,6.0,6.0,0.92741,0.0411,939.8,300.0,Compound 3681545716555547030,0.0,20.0,0.0032,23.1324,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 3681545716555547030
6.0,0.78,6.0,6.0,0.91508,0.0982,1.0,300.0,Compound -8226631041349065747,0.0,20.0,0.048,146.7618,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.9704140062076736e-10,Compound -8226631041349065747
6.0,18.96,6.0,6.0,0.95123,1.81e-07,0.38,300.0,Compound -2840445695538286597,0.0,20.0,3.5e-08,57.3925,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.5784604633301182,Compound -2840445695538286597
6.0,23.01,6.0,6.0,0.91627,1.96,186.56,300.0,Compound -3439605898194602716,0.0,20.0,300.0,45659.0149,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,4.4203189776213115e-14,Compound -3439605898194602716
6.0,36.97,6.0,6.0,0.9801,0.00291,24.38,300.0,Compound -7686694783235666694,0.0,20.0,1.4,139196.9315,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.783901154909152,Compound -7686694783235666694
6.0,8.44,6.0,6.0,0.93761,0.000492,22134.91,300.0,Compound -276389248015752997,0.0,20.0,1.5e-05,8.8519,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound -276389248015752997
6.0,127.5,6.0,6.0,0.97181,109000.0,631.69,300.0,Compound -3962622148740200229,0.0,20.0,5.5,0.015,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,4.851933003475654e-05,Compound -3962622148740200229
6.0,23.76,6.0,6.0,0.96244,93100.0,1489.42,300.0,Compound 7546100008035866684,0.0,20.0,24000.0,78.7061,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,2.2148893938097813e-05,Compound 7546100008035866684
6.0,12.98,6.0,6.0,0.97036,92.6,1798.96,300.0,Compound 1963231082566670031,0.0,20.0,10.0,33.6943,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 1963231082566670031
6.0,11.07,6.0,6.0,0.90575,0.147,40.35,300.0,Compound 6881983823445885250,0.0,20.0,0.93,1904.3651,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,7.058129729086466e-07,Compound 6881983823445885250
6.0,62.07,6.0,6.0,0.91087,11.6,321.85,300.0,Compound 7873080286345247666,0.0,20.0,0.28,7.1443,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,8.867722758738137e-12,Compound 7873080286345247666
6.0,997.52,6.0,6.0,0.92033,3.91e-08,99.09,300.0,Compound -664157718979853270,0.0,20.0,1.3e-06,9812.072,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,29.199227022448117,Compound -664157718979853270
6.0,24.95,6.0,6.0,0.92304,5.09e-06,129.02,300.0,Compound 5617269817693363536,0.0,20.0,2e-07,12.0023,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.9892947129807532e-06,Compound 5617269817693363536
6.0,406.87,6.0,6.0,0.92566,31.6,13.12,300.0,Compound 4992467990647712950,0.0,20.0,0.61,5.7505,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.18269464631003607,Compound 4992467990647712950
6.0,0.04,6.0,6.0,0.97608,6.91e-10,33.6,300.0,Compound 4821968244331444582,0.0,20.0,1.3e-07,56855.428,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 4821968244331444582
6.0,1100.22,6.0,6.0,0.99126,88600.0,15733.34,300.0,Compound 3207104634491211151,0.0,20.0,49000.0,165.6069,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,4.800212684125359e-05,Compound 3207104634491211151
6.0,261.92,6.0,6.0,0.95452,0.0133,71.64,300.0,Compound 377039935910844607,0.0,20.0,0.16,3510.5836,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,7.321148598203022,Compound 377039935910844607
6.0,118.69,6.0,6.0,0.94341,4.98e-07,385.97,300.0,Compound -4861212208268903010,0.0,20.0,6.7e-05,40575.057,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0026886794092458666,Compound -4861212208268903010
6.0,6.49,6.0,6.0,0.92098,0.00128,135.28,300.0,Compound 4940956205981841336,0.0,20.0,0.04,9472.4525,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,1.115369127451277e-19,Compound 4940956205981841336
6.0,179.99,6.0,6.0,0.98509,0.00412,361.61,300.0,Compound 8028981647276399087,0.0,20.0,0.0091,661.4373,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.2370320226857584,Compound 8028981647276399087
6.0,4.31,6.0,6.0,0.92405,0.00705,236.16,300.0,Compound 2816507591660584833,0.0,20.0,0.17,7242.3431,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0,Compound 2816507591660584833
6.0,0.93,6.0,6.0,0.90108,54900.0,1.78,300.0,Compound 3341468982605968997,0.0,20.0,17.0,0.0955,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,3.746377954340472e-06,Compound 3341468982605968997
6.0,21.31,6.0,6.0,0.94796,345.0,107.8,300.0,Compound -2510329327705175760,0.0,20.0,640.0,556.6284,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,8.802667241050225e-05,Compound -2510329327705175760
6.0,83.31,6.0,6.0,0.9522,0.148,181.81,300.0,Compound 4761315301152901832,0.0,20.0,82.0,167597.6955,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.01360153394894785,Compound 4761315301152901832
6.0,34.65,6.0,6.0,0.96989,0.00296,96.24,300.0,Compound -4762886050045465174,0.0,20.0,0.00058,58.9598,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,0.0134784120920581,Compound -4762886050045465174
6.0,23.83,6.0,6.0,0.97466,7.35,133.56,300.0,Compound 451120208699839282,0.0,20.0,0.0002,0.0083,0001-04-17 00:00:00,0001-05-01 00:00:00,1,14,WC,GAP -199991243157005737,2,250.0,0001-04-17T00:00:00,50.0,25.0,absolute,75.0,C,3.0641613978655134e-06,Compound 451120208699839282
